date_time,rain_1h,snow_1h,temp,clouds_all,traffic_volume
2015-07-01 00:00:00,0.0,0.0,289.2,1,737
2015-07-01 01:00:00,0.0,0.0,289.4,1,444
2015-07-01 02:00:00,0.0,0.0,289.19,1,347
2015-07-01 03:00:00,0.3,0.0,288.74,1,356
2015-07-01 04:00:00,0.0,0.0,288.07,1,936
2015-07-01 05:00:00,0.0,0.0,287.87,1,2886
2015-07-01 06:00:00,0.0,0.0,287.38,1,5741
2015-07-01 07:00:00,0.0,0.0,287.58,75,6261
2015-07-01 09:00:00,0.0,0.0,288.58,40,4409
2015-07-01 10:00:00,0.0,0.0,289.24,40,4273
2015-07-01 11:00:00,0.0,0.0,289.44,75,4469
2015-07-01 12:00:00,0.0,0.0,290.53,1,4625
2015-07-01 13:00:00,0.0,0.0,292.17,1,4462
2015-07-01 14:00:00,0.0,0.0,293.61,1,4996
2015-07-01 15:00:00,0.0,0.0,294.85,1,5623
2015-07-01 16:00:00,0.0,0.0,295.07,1,6210
2015-07-01 17:00:00,0.0,0.0,295.56,1,5969
2015-07-01 18:00:00,0.0,0.0,295.17,1,4604
2015-07-01 19:00:00,0.0,0.0,294.86,1,3649
2015-07-01 20:00:00,0.0,0.0,293.76,1,3144
2015-07-01 21:00:00,0.0,0.0,291.19,1,2788
2015-07-01 22:00:00,0.0,0.0,289.67,1,2356
2015-07-01 23:00:00,0.0,0.0,288.1,1,2820
2015-07-02 00:00:00,0.0,0.0,287.36,1,1265
2015-07-02 01:00:00,0.0,0.0,286.47,1,566
2015-07-02 02:00:00,0.0,0.0,286.22,1,373
2015-07-02 03:00:00,0.0,0.0,285.63,1,356
2015-07-02 04:00:00,0.0,0.0,285.16,1,801
2015-07-02 05:00:00,0.0,0.0,285.03,1,2696
2015-07-02 06:00:00,0.0,0.0,284.72,1,5400
2015-07-02 07:00:00,0.0,0.0,286.44,1,5933
2015-07-02 08:00:00,0.0,0.0,289.21,1,4987
2015-07-02 09:00:00,0.0,0.0,289.59,1,4419
2015-07-02 10:00:00,0.0,0.0,293.43,1,4258
2015-07-02 11:00:00,0.0,0.0,294.9,1,4816
2015-07-02 12:00:00,0.0,0.0,295.3,1,5254
2015-07-02 13:00:00,0.0,0.0,296.48,40,5201
2015-07-02 14:00:00,0.0,0.0,297.07,40,5601
2015-07-02 15:00:00,0.0,0.0,297.59,40,5707
2015-07-02 16:00:00,0.0,0.0,297.49,1,5768
2015-07-02 17:00:00,0.0,0.0,297.54,1,4975
2015-07-02 18:00:00,0.0,0.0,296.76,1,3971
2015-07-02 19:00:00,0.0,0.0,296.34,1,3532
2015-07-02 20:00:00,0.0,0.0,294.98,1,2977
2015-07-02 21:00:00,0.0,0.0,293.02,1,2997
